artist,song,genre
D4L,Laffy Taffy,"hip hop, pop"
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),"hip hop, pop, R&B"
Rob Thomas,Lonely No More,"pop, Folk/Acoustic"
Brian McFadden,Almost Here,set()
Bobby V.,"Slow Down - 12"" Version","hip hop, pop, R&B"
Backstreet Boys,Incomplete,pop
Pretty Ricky,Grind With Me,"hip hop, pop, R&B"
Kanye West,Diamonds From Sierra Leone - Remix,hip hop
Snoop Dogg,Drop It Like It's Hot,"hip hop, pop"
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,"hip hop, pop"
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),"pop, R&B"
Ciara,"1, 2 Step (feat. Missy Elliott) - Main","pop, R&B"
Amerie,1 Thing,"hip hop, pop, R&B"
Ludacris,Get Back,"hip hop, pop"
Franz Ferdinand,Do You Want To,rock
Natalie Imbruglia,Shiver,"pop, Folk/Acoustic"
Gwen Stefani,Hollaback Girl,"pop, R&B"
Pretty Ricky,Your Body,"hip hop, pop, R&B"
Thirty Seconds To Mars,The Kill,rock
Alicia Keys,Karma,"pop, R&B"
2Pac,Ghetto Gospel,hip hop
Craig David,Don't Love You No More (I'm Sorry),"hip hop, pop, R&B"
Katie Melua,Nine Million Bicycles,"pop, easy listening, jazz"
Lil Jon & The East Side Boyz,Lovers And Friends,"hip hop, pop"
Mariah Carey,Don't Forget About Us - Radio Edit,"pop, R&B"
Ying Yang Twins,Wait (The Whisper Song),"hip hop, pop"
Will Smith,Switch,"hip hop, pop"
Bow Wow,Like You (feat. Ciara),"hip hop, pop, R&B"
Kaiser Chiefs,Everyday I Love You Less And Less,rock
Kelly Clarkson,Behind These Hazel Eyes,"pop, R&B"
Black Eyed Peas,Don't Lie,"hip hop, pop"
Westlife,You Raise Me Up,pop
Ray J,One Wish,"hip hop, pop, R&B"
Papa Roach,Scars,"rock, metal"
Arctic Monkeys,I Bet You Look Good On The Dancefloor,rock
Shayne Ward,That's My Goal,pop
Bow Wow,Let Me Hold You (feat. Omarion),"hip hop, pop, R&B"
Kaiser Chiefs,I Predict A Riot,rock
Usher,Caught Up,"hip hop, pop, R&B"
Kelly Clarkson,Because of You,"pop, R&B"
3 Doors Down,Let Me Go,"pop, rock, metal"
Nickelback,Photograph,"rock, metal"
T-Pain,I'm Sprung,"hip hop, pop, R&B"
Destiny's Child,Cater 2 U,"pop, R&B"
The Pussycat Dolls,Stickwitu,"pop, R&B"
Ryan Cabrera,TRUE,pop
Stereophonics,Dakota,"rock, pop"
Eminem,Like Toy Soldiers,hip hop
Nelly,Over And Over,"hip hop, pop, R&B"
Coldplay,Speed of Sound,"rock, pop"
KT Tunstall,Suddenly I See,"World/Traditional, pop, Folk/Acoustic"
Destiny's Child,Girl,"pop, R&B"
Kelly Clarkson,Since U Been Gone,"pop, R&B"
U2,Sometimes You Can't Make It On Your Own,"World/Traditional, rock"
The All-American Rejects,Dirty Little Secret,"rock, pop"
Toby Keith,As Good As I Once Was,country
Gwen Stefani,Cool,"pop, R&B"
Foo Fighters,Best of You,"rock, metal"
Shakira,Hips Don't Lie (feat. Wyclef Jean),"pop, latin"
Sean Paul,Temperature,"hip hop, pop"
Justin Timberlake,SexyBack (feat. Timbaland),pop
Beyonc??,Irreplaceable,"pop, R&B"
Amy Winehouse,Rehab,R&B
Rihanna,SOS,"hip hop, pop, R&B"
Gnarls Barkley,Crazy,"hip hop, R&B"
Busta Rhymes,Touch It,"hip hop, pop"
Nelly Furtado,Maneater,"hip hop, pop, latin"
Bob Sinclar,Rock This Party - Everybody Dance Now,"pop, Dance/Electronic"
Diddy,Come to Me (feat. Nicole Scherzinger),"hip hop, pop"
Madonna,Sorry,pop
Chamillionaire,Ridin',"hip hop, pop"
Black Eyed Peas,Pump It,"hip hop, pop"
Nelly Furtado,Promiscuous,"hip hop, pop, latin"
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,"pop, Dance/Electronic"
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,"hip hop, pop"
The Pussycat Dolls,Buttons,"pop, R&B"
Ciara,Get Up (feat. Chamillionaire),"pop, R&B"
Eminem,Shake That,hip hop
Cherish,Do It To It,"hip hop, pop, R&B"
Muse,Supermassive Black Hole,rock
Chris Brown,Gimme That,"hip hop, pop, R&B"
Infernal,From Paris to Berlin,pop
Cassie,Me & U,"pop, R&B"
E-40,U and Dat (feat. T. Pain & Kandi Girl),"hip hop, pop"
The Pussycat Dolls,Beep,"pop, R&B"
Lil Jon,Snap Yo Fingers,"hip hop, pop"
Armand Van Helden,My My My - Radio Edit,"pop, Dance/Electronic"
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",hip hop
Yung Joc,It's Goin' Down (feat. Nitti),"hip hop, pop"
Shayne Ward,No Promises,pop
Justin Timberlake,My Love (feat. T.I.),pop
Nickelback,Savin' Me,"rock, metal"
Nelly,Grillz,"hip hop, pop, R&B"
Take That,Patience,pop
Fergie,London Bridge,"pop, R&B"
Cascada,Everytime We Touch - Radio Edit,"hip hop, pop, Dance/Electronic"
D4L,Laffy Taffy,"hip hop, pop"
LL Cool J,Control Myself,"hip hop, pop, R&B"
Beyonc??,Deja Vu (feat. Jay-Z),"pop, R&B"
P!nk,Stupid Girls,pop
Eminem,When I'm Gone,hip hop
Kelis,Bossy,"pop, R&B, Dance/Electronic"
Bob Sinclar,Love Generation - Radio Edit,"pop, Dance/Electronic"
Meck,Thunder in My Heart Again (Radio Edit),set()
Mary J. Blige,Be Without You - Kendu Mix,"pop, R&B"
Girls Aloud,Something Kinda Ooooh,"pop, Dance/Electronic"
Rihanna,Unfaithful,"hip hop, pop, R&B"
Kanye West,Touch The Sky,hip hop
Dem Franchize Boyz,"Lean Wit It, Rock Wit It","hip hop, pop"
Evanescence,Call Me When You're Sober,metal
Chingy,Pullin' Me Back,"hip hop, pop, R&B"
Nickelback,Far Away,"rock, metal"
Fall Out Boy,"Dance, Dance",rock
Leona Lewis,A Moment Like This,"pop, R&B"
T.I.,What You Know,"hip hop, pop"
Ludacris,Money Maker,"hip hop, pop"
Nick Lachey,What's Left Of Me,pop
Jibbs,Chain Hang Low,"hip hop, pop"
Arctic Monkeys,When The Sun Goes Down,rock
Rascal Flatts,Life is a Highway,country
Beyonc??,Check On It (feat. Slim Thug),"pop, R&B"
Keyshia Cole,Love,"hip hop, pop, R&B"
Lily Allen,Smile,pop
Ne-Yo,Sexy Love,"pop, R&B"
JoJo,Too Little Too Late,"hip hop, pop, R&B"
Mary J. Blige,One,"pop, R&B"
Bubba Sparxxx,Ms. New Booty,"hip hop, pop, country"
Amy Winehouse,You Know I'm No Good,R&B
Rascal Flatts,What Hurts The Most,country
Red Hot Chili Peppers,Dani California,rock
Scissor Sisters,I Don't Feel Like Dancin',"pop, rock, Dance/Electronic"
Ne-Yo,So Sick,"pop, R&B"
Hinder,Lips Of An Angel,"pop, rock, metal"
The Raconteurs,"Steady, As She Goes",rock
The Fratellis,Chelsea Dagger,rock
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),"hip hop, pop, rock"
The Pussycat Dolls,Stickwitu,"pop, R&B"
Panic! At The Disco,I Write Sins Not Tragedies,rock
James Blunt,Goodbye My Lover,pop
Christina Aguilera,Ain't No Other Man,pop
Westlife,The Rose,pop
Keane,Is It Any Wonder?,pop
Orson,No Tomorrow,pop
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),"hip hop, pop, R&B"
KT Tunstall,Black Horse And The Cherry Tree,"World/Traditional, pop, Folk/Acoustic"
Natasha Bedingfield,Unwritten,pop
Razorlight,America,"rock, pop"
James Morrison,You Give Me Something,"pop, R&B"
Snow Patrol,You're All I Have,"World/Traditional, rock, pop"
The Fray,How to Save a Life,pop
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),"World/Traditional, pop"
My Chemical Romance,Welcome to the Black Parade,rock
Razorlight,In The Morning,"rock, pop"
The All-American Rejects,Dirty Little Secret,"rock, pop"
James Morrison,Wonderful World,"pop, R&B"
Chris Brown,Yo (Excuse Me Miss),"hip hop, pop, R&B"
P!nk,Who Knew,pop
The Kooks,Naive,rock
Leona Lewis,Bleeding Love,"pop, R&B"
Rihanna,Umbrella,"hip hop, pop, R&B"
Britney Spears,Gimme More,pop
Fergie,Big Girls Don't Cry (Personal),"pop, R&B"
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,pop
Plain White T's,Hey There Delilah,pop
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),pop
Gwen Stefani,The Sweet Escape,"pop, R&B"
Timbaland,The Way I Are,"hip hop, pop, R&B"
Nelly Furtado,Say It Right,"hip hop, pop, latin"
Ida Corr,Let Me Think About It,set()
Alex Gaudino,Destination Calabria - Radio Edit,Dance/Electronic
September,Cry for You,"pop, Dance/Electronic"
Akon,Smack That,pop
Timbaland,Give It To Me,"hip hop, pop, R&B"
50 Cent,Ayo Technology,"hip hop, pop"
Eric Prydz,Proper Education - Radio Edit,"pop, Dance/Electronic"
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,"pop, Dance/Electronic"
Ciara,Like a Boy,"pop, R&B"
Kanye West,Stronger,hip hop
Beyonc??,Beautiful Liar,"pop, R&B"
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,"hip hop, pop"
Akon,I Wanna Love You,pop
Soulja Boy,Crank That (Soulja Boy),"hip hop, pop"
Fat Joe,Make It Rain,"hip hop, pop"
P!nk,U + Ur Hand,pop
Rihanna,Shut Up And Drive,"hip hop, pop, R&B"
Lloyd,Get It Shawty,"hip hop, pop, R&B"
Kanye West,Can't Tell Me Nothing,hip hop
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,set()
Linkin Park,What I've Done,"rock, metal"
Keyshia Cole,Last Night,"hip hop, pop, R&B"
Chris Brown,Kiss Kiss (feat. T-Pain),"hip hop, pop, R&B"
Shop Boyz,Party Like A Rock Star,"hip hop, pop"
Finger Eleven,Paralyzer,"rock, metal"
Justin Timberlake,Summer Love,pop
MiMS,This Is Why I'm Hot,"hip hop, pop"
Fabolous,Make Me Better,"hip hop, pop, R&B"
Seether,Fake It,"rock, metal"
Take That,Patience,pop
Arctic Monkeys,Brianstorm,rock
Justin Timberlake,My Love (feat. T.I.),pop
Fergie,Glamorous,"pop, R&B"
Linkin Park,Bleed It Out,"rock, metal"
My Chemical Romance,Teenagers,rock
Calvin Harris,Acceptable in the 80's,"hip hop, pop, Dance/Electronic"
Sugababes,About You Now,"pop, R&B"
Avril Lavigne,Girlfriend,pop
Ne-Yo,Because Of You,"pop, R&B"
Daughtry,It's Not Over,"pop, rock, metal"
Unk,Walk It Out,"hip hop, pop"
Lloyd,You,"hip hop, pop, R&B"
Klaxons,Golden Skans,rock
T-Pain,Bartender (feat. Akon),"hip hop, pop, R&B"
Baby Boy Da Prince,The Way I Live - Main Explicit,"hip hop, pop"
Fergie,Fergalicious,"pop, R&B"
Omarion,Ice Box,"hip hop, pop, R&B"
Pretty Ricky,On the Hotline - Amended Version,"hip hop, pop, R&B"
Nickelback,Rockstar,"rock, metal"
Fall Out Boy,Thnks fr th Mmrs,rock
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),pop
All Time Low,"Dear Maria, Count Me In",rock
Amy Winehouse,Back To Black,R&B
Keyshia Cole,Let It Go,"hip hop, pop, R&B"
Ciara,Promise,"pop, R&B"
Enrique Iglesias,Do You Know? (The Ping Pong Song),"pop, latin"
T2,Heartbroken - Edit,Dance/Electronic
Robyn,With Every Heartbeat,"pop, Dance/Electronic"
Maroon 5,Makes Me Wonder,pop
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",rock
Paramore,Misery Business,"pop, rock"
Hinder,Better Than Me,"pop, rock, metal"
Huey,"Pop, Lock & Drop It - Video Edit","hip hop, pop"
Foo Fighters,The Pretender,"rock, metal"
Plies,Shawty (feat. T Pain),"hip hop, pop, R&B"
Kaiser Chiefs,Ruby,rock
Mark Ronson,Stop Me (feat. Daniel Merriweather),pop
Bow Wow,Outta My System (feat. T-Pain & Johnt?? Austin),"hip hop, pop, R&B"
Jim Jones,We Fly High,"hip hop, pop"
The Red Jumpsuit Apparatus,Face Down,pop
MIKA,Grace Kelly,pop
Christina Aguilera,Candyman,pop
Sean Kingston,Beautiful Girls,"hip hop, pop, R&B"
Akon,Don't Matter,pop
James Blunt,1973,pop
Carrie Underwood,Before He Cheats,"pop, country"
Just Jack,Starz In Their Eyes,Dance/Electronic
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"hip hop, pop, R&B"
Bone Thugs-N-Harmony,I Tried,"hip hop, pop"
Avril Lavigne,When You're Gone,pop
Rich Boy,Throw Some D's,"hip hop, pop"
MIKA,Love Today,pop
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),"rock, pop"
Elliott Yamin,Wait for You,set()
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",set()
Boys Like Girls,The Great Escape,pop
Take That,Rule The World - Radio Edit,pop
J. Holiday,Bed,"hip hop, pop, R&B, Dance/Electronic"
Red Hot Chili Peppers,Snow (Hey Oh),rock
Ludacris,Runaway Love,"hip hop, pop"
Flo Rida,Low (feat. T-Pain),"hip hop, pop"
Katy Perry,I Kissed A Girl,pop
Rihanna,Take A Bow,"hip hop, pop, R&B"
Alicia Keys,No One,"pop, R&B"
Timbaland,Apologize,"hip hop, pop, R&B"
Ne-Yo,Miss Independent,"pop, R&B"
Chris Brown,With You,"hip hop, pop, R&B"
Beyonc??,If I Were a Boy,"pop, R&B"
Kardinal Offishall,Dangerous,"hip hop, pop, R&B"
Madcon,Beggin (original version),"hip hop, pop"
September,Cry for You,"pop, Dance/Electronic"
Rihanna,Disturbia,"hip hop, pop, R&B"
Guru Josh Project,Infinity 2008,hip hop
Britney Spears,Break the Ice,pop
Lil Wayne,Lollipop,"hip hop, pop"
Basshunter,Now You're Gone - Video Edit,pop
Kanye West,Flashing Lights,hip hop
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),pop
Katy Perry,Hot N Cold,pop
Rihanna,Don't Stop The Music,"hip hop, pop, R&B"
Snoop Dogg,Sensual Seduction,"hip hop, pop"
Akon,Right Now (Na Na Na),pop
Britney Spears,Womanizer,pop
Eric Prydz,Pjanoo - Radio Edit,"pop, Dance/Electronic"
Kelly Rowland,Work,"hip hop, pop, R&B"
Jeezy,Put On,"hip hop, pop"
Madonna,Give It 2 Me,pop
The Pussycat Dolls,When I Grow Up,"pop, R&B"
will.i.am,Heartbreaker,"hip hop, pop"
Soulja Boy,Crank That (Soulja Boy),"hip hop, pop"
Britney Spears,Piece of Me,pop
T.I.,Live Your Life,"hip hop, pop"
Ne-Yo,Closer,"pop, R&B"
Lil Wayne,A Milli,"hip hop, pop"
Colby O'Donis,What You Got,"hip hop, pop, R&B"
Miley Cyrus,See You Again,pop
Basshunter,All I Ever Wanted - Radio Edit,pop
Chris Brown,Kiss Kiss (feat. T-Pain),"hip hop, pop, R&B"
Finger Eleven,Paralyzer,"rock, metal"
Alesha Dixon,The Boy Does Nothing,pop
Dizzee Rascal,Dance Wiv Me - Radio Edit,"hip hop, pop, Dance/Electronic"
Gabriella Cilmi,Sweet About Me,R&B
Jack White,Another Way to Die,"rock, blues"
Plies,Hypnotized (feat. Akon),"hip hop, pop, R&B"
The Pussycat Dolls,I Hate This Part,"pop, R&B"
Sean Kingston,Take You There,"hip hop, pop, R&B"
Natasha Bedingfield,Pocketful of Sunshine,pop
The Offspring,"You're Gonna Go Far, Kid","rock, pop, metal"
Kanye West,Homecoming,hip hop
Estelle,American Boy,R&B
Saving Abel,Addicted,"rock, metal"
Pendulum,Propane Nightmares,Dance/Electronic
The Game,My Life,"hip hop, pop"
Danity Kane,Damaged,"pop, R&B"
P!nk,So What,pop
Kanye West,Love Lockdown,hip hop
Gym Class Heroes,Cookie Jar (feat. The-Dream),"hip hop, pop"
M.I.A.,Paper Planes,"pop, rock"
3 Doors Down,It's Not My Time,"pop, rock, metal"
Kylie Minogue,Wow,"pop, Dance/Electronic"
Mariah Carey,Touch My Body,"pop, R&B"
MGMT,Kids,rock
The Ting Tings,Shut Up and Let Me Go,"pop, rock, Dance/Electronic"
Lil Wayne,Got Money,"hip hop, pop"
Santana,Into the Night (feat. Chad Kroeger),"rock, blues, latin"
The-Dream,I Luv Your Girl,"hip hop, pop, R&B"
Wiley,Wearing My Rolex - Radio Edit,"hip hop, Dance/Electronic"
Usher,Love in This Club (feat. Young Jeezy),"hip hop, pop, R&B"
Sam Sparro,Black & Gold - Radio Edit,"pop, Dance/Electronic"
"H ""two"" O",What's It Gonna Be (feat. Platnum),Dance/Electronic
The Ting Tings,That's Not My Name,"pop, rock, Dance/Electronic"
Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)","hip hop, pop, R&B"
James Morrison,Broken Strings,"pop, R&B"
Leona Lewis,Run,"pop, R&B"
Metro Station,Shake It,"pop, rock"
T.I.,Whatever You Like,"hip hop, pop"
Trey Songz,Can't Help but Wait,"hip hop, pop, R&B"
OneRepublic,Stop And Stare,pop
Alexandra Burke,Hallelujah,pop
Mary J. Blige,Just Fine,"pop, R&B"
Jordin Sparks,One Step At a Time,"pop, R&B"
Coldplay,Viva La Vida,"rock, pop"
Kings of Leon,Sex on Fire,rock
Kanye West,Good Life,hip hop
Duffy,Mercy,"pop, R&B"
David Archuleta,Crush,pop
J. Holiday,Suffocate - Superclean,"hip hop, pop, R&B, Dance/Electronic"
Gavin DeGraw,In Love With a Girl,"pop, Folk/Acoustic"
Jordin Sparks,Tattoo,"pop, R&B"
Coldplay,Violet Hill,"rock, pop"
Ray J,Sexy Can I feat. Yung Berg,"hip hop, pop, R&B"
Jennifer Hudson,Spotlight,"pop, R&B, easy listening"
John Legend,Green Light (feat. Andr?? 3000),"pop, R&B"
Jonas Brothers,Burnin' Up,pop
Lupe Fiasco,Superstar (feat. Matthew Santos),"hip hop, pop"
Chris Brown,Forever,"hip hop, pop, R&B"
Adele,Chasing Pavements,"pop, R&B"
Leona Lewis,Better in Time,"pop, R&B"
Fergie,Clumsy,"pop, R&B"
T-Pain,Can't Believe It (feat. Lil' Wayne),"hip hop, pop, R&B"
Black Eyed Peas,I Gotta Feeling,"hip hop, pop"
Lady Gaga,Poker Face,pop
Beyonc??,Halo,"pop, R&B"
David Guetta,Sexy Bitch (feat. Akon),"hip hop, pop, Dance/Electronic"
Flo Rida,Right Round,"hip hop, pop"
Taylor Swift,Love Story,pop
Pitbull,Hotel Room Service,"hip hop, pop, latin"
Britney Spears,Circus,pop
Lady Gaga,LoveGame,pop
Skillet,Monster,"rock, pop, metal"
The Prodigy,Omen,"rock, pop, Dance/Electronic"
Black Eyed Peas,Meet Me Halfway,"hip hop, pop"
Kanye West,Heartless,hip hop
Kid Cudi,Day 'N' Nite (Nightmare),hip hop
Lady Gaga,Just Dance,pop
Britney Spears,If U Seek Amy,pop
Pitbull,I Know You Want Me (Calle Ocho),"hip hop, pop, latin"
Mariah Carey,Obsessed,"pop, R&B"
Beyonc??,Sweet Dreams,"pop, R&B"
Agnes,Release Me,"pop, Dance/Electronic"
Black Eyed Peas,Boom Boom Pow,"hip hop, pop"
Shakira,She Wolf,"pop, latin"
Lady Gaga,Paparazzi,pop
JAY-Z,Empire State Of Mind,hip hop
OneRepublic,All The Right Moves,pop
Jeremih,Birthday Sex,"hip hop, pop, R&B"
Cascada,Evacuate The Dancefloor,"hip hop, pop, Dance/Electronic"
Linkin Park,New Divide,"rock, metal"
Kevin Rudolf,Let It Rock,"hip hop, pop"
JAY-Z,Run This Town,hip hop
Lady Gaga,Bad Romance,pop
T.I.,Live Your Life,"hip hop, pop"
Eminem,We Made You,hip hop
Dizzee Rascal,Bonkers,"hip hop, pop, Dance/Electronic"
Ciara,Love Sex Magic (feat. Justin Timberlake),"pop, R&B"
Rihanna,Russian Roulette,"hip hop, pop, R&B"
Soulja Boy,Turn My Swag On,"hip hop, pop"
The xx,Intro,rock
Jay Sean,Down,"hip hop, pop, R&B"
Keri Hilson,Turnin Me On - Original Dirty,"pop, R&B"
David Guetta,When Love Takes Over (feat. Kelly Rowland),"hip hop, pop, Dance/Electronic"
Cheryl,Fight For This Love,"pop, Dance/Electronic"
Soulja Boy,Kiss Me Thru The Phone,"hip hop, pop"
Eminem,Crack A Bottle,hip hop
P!nk,Sober,pop
Tinchy Stryder,Number 1,"pop, Dance/Electronic"
Pixie Lott,"Mama Do (Uh Oh, Uh Oh)","pop, Dance/Electronic"
JLS,Beat Again - Radio Edit,pop
3OH!3,DONTTRUSTME,"hip hop, pop, rock"
A.R. Rahman,Jai Ho! (You Are My Destiny),set()
The Pussycat Dolls,I Hate This Part,"pop, R&B"
Akon,Beautiful,pop
Alexandra Burke,Bad Boys (feat. Flo Rida),pop
Mario,Break Up,"pop, R&B"
Drake,Forever,"hip hop, pop, R&B"
Selena Gomez & The Scene,Naturally,"pop, Dance/Electronic"
Kanye West,Love Lockdown,hip hop
The Veronicas,Untouched,"pop, Dance/Electronic"
Fabolous,Throw It In The Bag,"hip hop, pop, R&B"
Jason Derulo,Whatcha Say,"hip hop, pop"
Lily Allen,Not Fair,pop
T.I.,Dead And Gone,"hip hop, pop"
Sean Kingston,Fire Burning,"hip hop, pop, R&B"
Empire of the Sun,Walking On A Dream,"rock, pop, Dance/Electronic"
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),"pop, Dance/Electronic"
Nickelback,If Today Was Your Last Day,"rock, metal"
La Roux,Bulletproof,"pop, Dance/Electronic"
Kasabian,Fire,rock
Calvin Harris,I'm Not Alone - Radio Edit,"hip hop, pop, Dance/Electronic"
Justin Bieber,One Time,pop
Jamie Foxx,Blame It,"hip hop, pop, R&B"
La Roux,In For The Kill,"pop, Dance/Electronic"
Muse,Uprising,rock
Nickelback,Gotta Be Somebody,"rock, metal"
James Morrison,Broken Strings,"pop, R&B"
T.I.,Whatever You Like,"hip hop, pop"
Dizzee Rascal,Holiday,"hip hop, pop, Dance/Electronic"
Beyonc??,Single Ladies (Put a Ring on It),"pop, R&B"
Boys Like Girls,Love Drunk,pop
The-Dream,Rockin' That Shit,"hip hop, pop, R&B"
OneRepublic,Secrets,pop
JLS,Everybody in Love,pop
Jason Aldean,Big Green Tractor,country
The Fray,Never Say Never,pop
Lily Allen,The Fear,pop
Kings of Leon,Sex on Fire,rock
Drake,Best I Ever Had,"hip hop, pop, R&B"
Kelly Clarkson,Already Gone,"pop, R&B"
Miley Cyrus,Party In The U.S.A.,pop
Jordin Sparks,Battlefield,"pop, R&B"
Ne-Yo,Mad,"pop, R&B"
Green Day,21 Guns,rock
Keri Hilson,Knock You Down,"pop, R&B"
Taylor Swift,You Belong With Me,pop
Shinedown,Second Chance,"rock, metal"
Asher Roth,I Love College,"hip hop, pop"
Katy Perry,Waking Up In Vegas,pop
Kelly Clarkson,My Life Would Suck Without You,"pop, R&B"
Mumford & Sons,Little Lion Man,"Folk/Acoustic, rock, pop"
The Fray,You Found Me,pop
Bruno Mars,Just the Way You Are,pop
Eminem,Love The Way You Lie,hip hop
Lady Gaga,Bad Romance,pop
Stromae,Alors on danse - Radio Edit,pop
Kesha,TiK ToK,"pop, Dance/Electronic"
David Guetta,Memories (feat. Kid Cudi),"hip hop, pop, Dance/Electronic"
Taio Cruz,Dynamite,"hip hop, pop"
Rihanna,Only Girl (In The World),"hip hop, pop, R&B"
Katy Perry,California Gurls,pop
Kesha,Take It Off,"pop, Dance/Electronic"
INNA,Hot - Play & Win Radio Version,pop
Far East Movement,Like A G6,"hip hop, pop"
David Guetta,Gettin' Over You (feat. Fergie & LMFAO),"hip hop, pop, Dance/Electronic"
Duck Sauce,Barbra Streisand - Radio Edit,Dance/Electronic
Lucenzo,Danza Kuduro (feat. Don Omar),latin
Rihanna,Te Amo,"hip hop, pop, R&B"
Timbaland,Carry Out (Featuring Justin Timberlake),"hip hop, pop, R&B"
DJ Fresh,Gold Dust - Radio Edit,"pop, Dance/Electronic"
Edward Maya,Stereo Love - Radio Edit,pop
Taio Cruz,Break Your Heart,"hip hop, pop"
Black Eyed Peas,Imma Be,"hip hop, pop"
Sidney Samson,Riverside,Dance/Electronic
Eminem,Not Afraid,hip hop
Lady Gaga,Alejandro,pop
Rihanna,Rude Boy,"hip hop, pop, R&B"
Ne-Yo,Beautiful Monster,"pop, R&B"
3OH!3,Starstrukk,"hip hop, pop, rock"
Black Eyed Peas,The Time (Dirty Bit),"hip hop, pop"
Kelly Rowland,Commander,"hip hop, pop, R&B"
Swedish House Mafia,One (Your Name) - Radio Edit,"pop, Dance/Electronic"
Chris Brown,Deuces (feat. Tyga & Kevin McCall),"hip hop, pop, R&B"
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),"hip hop, pop, R&B"
Iyaz,Replay,"hip hop, pop"
Flo Rida,Club Can't Handle Me (feat. David Guetta),"hip hop, pop"
Sean Kingston,Eenie Meenie,"hip hop, pop, R&B"
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),"hip hop, pop"
Tinie Tempah,Written in the Stars (feat. Eric Turner),"hip hop, pop, Dance/Electronic"
Bruno Mars,Talking to the Moon,pop
Miley Cyrus,Can't Be Tamed,pop
Mike Posner,Cooler Than Me - Single Mix,"hip hop, pop, Dance/Electronic"
Lady Gaga,Telephone,pop
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),Dance/Electronic
Rihanna,Hard,"hip hop, pop, R&B"
Tinie Tempah,Pass Out,"hip hop, pop, Dance/Electronic"
Adam Lambert,Whataya Want from Me,pop
Trey Songz,Bottoms Up (feat. Nicki Minaj),"hip hop, pop, R&B"
Timbaland,If We Ever Meet Again (Featuring Katy Perry),"hip hop, pop, R&B"
Enrique Iglesias,I Like It,"pop, latin"
Tim Berg,Seek Bromance - Avicii?€?s Vocal Edit,"pop, Dance/Electronic"
Usher,OMG (feat. will.i.am),"hip hop, pop, R&B"
Maroon 5,Misery,pop
Jay Sean,Down,"hip hop, pop, R&B"
Rihanna,Man Down,"hip hop, pop, R&B"
3OH!3,My First Kiss (feat. Ke$ha),"hip hop, pop, rock"
Justin Bieber,Baby,pop
Cali Swag District,Teach Me How to Dougie,"hip hop, pop"
Swedish House Mafia,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,"pop, Dance/Electronic"
K'NAAN,Wavin' Flag,set()
Ludacris,How Low,"hip hop, pop"
Kesha,Blah Blah Blah (feat. 3OH!3),"pop, Dance/Electronic"
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)","hip hop, pop"
Jason Derulo,In My Head,"hip hop, pop"
Aloe Blacc,I Need A Dollar,R&B
B.o.B,Airplanes (feat. Hayley Williams of Paramore),"hip hop, pop"
Ludacris,My Chick Bad,"hip hop, pop"
Nelly,Just A Dream,"hip hop, pop, R&B"
Rihanna,What's My Name?,"hip hop, pop, R&B"
Shontelle,Impossible,"pop, R&B"
Take That,The Flood,pop
Trey Songz,Say Aah (feat. Fabolous),"hip hop, pop, R&B"
Jason Derulo,Whatcha Say,"hip hop, pop"
Drake,Over,"hip hop, pop, R&B"
Example,Kickstarts,"pop, Dance/Electronic"
Plan B,She Said,Dance/Electronic
The Saturdays,Higher,"pop, Dance/Electronic"
Jay Sean,Do You Remember,"hip hop, pop, R&B"
Usher,Hey Daddy (Daddy's Home),"hip hop, pop, R&B"
Lil Wayne,Right Above It,"hip hop, pop"
The Wanted,All Time Low,"pop, Dance/Electronic"
Kesha,Your Love Is My Drug,"pop, Dance/Electronic"
